,Line,Group,Left,Right,ref_transcript,hyp_transcript,asr_hyp,interview_name,diff_name,diff_typ
0,382,ask <-> asked,ask , asked,aa-rev,amber,False,DCB_se3_ag4_m_02_5,stem_for_past_20e,morpho_syntax
1,496,them <-> them-,them , them-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_red_form,morpho_syntax
2,743,about <-> about-,about , about-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_red_form,morpho_syntax
3,235,a <-> uh,a , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_lexical,morpho_syntax
4,42,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
5,336,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
6,386,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
7,106,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
8,287,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
9,380,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
10,252,hm <-> ***,hm , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
11,492,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
12,564,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
13,792,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
14,59,people <-> people-,people , people-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
15,149,train <-> train-,train , train-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
16,586,city <-> city-,city , city-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
17,788,*** <-> lives-,*** , lives-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,del_restart,verbatim
18,797,that's- <-> ***,that's- , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,del_restart,verbatim
19,297,necklace <-> necklaces,necklace , necklaces,aa-rev,amber,False,ROC_se0_ag3_f_02_2,final_s_del_20a_21b,morpho_syntax
20,168,work <-> worked,work , worked,aa-rev,amber,False,ROC_se0_ag3_f_02_2,stem_for_past_20e,morpho_syntax
21,217,talk <-> talked,talk , talked,aa-rev,amber,False,ROC_se0_ag3_f_02_2,stem_for_past_20e,morpho_syntax
22,252,uh <-> a,uh , a,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_lexical,morpho_syntax
23,550,the <-> a,the , a,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_lexical,morpho_syntax
24,72,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
25,143,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
26,224,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
27,328,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
28,539,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
29,48,was <-> was-,was , was-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
30,75,sure <-> sure-,sure , sure-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
31,213,everybody <-> everybody-,everybody , everybody-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
32,241,you <-> you-,you , you-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
33,450,we <-> we-,we , we-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
34,330,they'll <-> they,they'll , they,aa-rev,amber,False,DCB_se2_ag3_m_03_2,future_ll_del_19c,morpho_syntax
35,494,i'll <-> i,i'll , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,future_ll_del_19c,morpho_syntax
36,459,type <-> types,type , types,aa-rev,amber,False,DCB_se2_ag3_m_03_2,final_s_del_20a_21b,morpho_syntax
37,375,them <-> the,them , the,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_red_form,morpho_syntax
38,102,they <-> i,they , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
39,576,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
40,584,a <-> an,a , an,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
41,586,i <-> ***,i , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
42,592,a <-> the,a , the,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
43,614,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
44,620,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
45,640,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
46,409,that'll <-> that will,that'll , that will,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_contraction,reductions
47,233,um <-> uh,um , uh,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_sub,verbatim
48,516,um <-> uh,um , uh,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_sub,verbatim
49,64,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_del,verbatim
50,454,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_del,verbatim
51,209,you <-> you-,you , you-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
52,595,for <-> for-,for , for-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
53,624,remodeling <-> remodeling-,remodeling , remodeling-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
54,79,a- <-> ***,a- , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,del_restart,verbatim
55,4576,he <-> he's,he , he's,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
56,5770,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
57,5774,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
